Name,Team
Rohit Sharma,India
Virat Kohli,India
Rishabh Pant,India
Suryakumar Yadav,India
Axar Patel,India
Shivam Dube,India
Hardik Pandya,India
Ravindra Jadeja,India
Reeza Hendricks,South Africa
Quinton de Kock,South Africa
Aiden Markram,South Africa
Tristan Stubbs,South Africa
Heinrich Klaasen,South Africa
David Miller,South Africa
Marco Jansen,South Africa
Keshav Maharaj,South Africa
Kagiso Rabada,South Africa
Anrich Nortje,South Africa
batsmanName,teamInnings
Rahmanullah Gurbaz,Afghanistan
Ibrahim Zadran,Afghanistan
Azmatullah Omarzai,Afghanistan
Karim Janat,Afghanistan
Rashid Khan,Afghanistan
Mohammad Nabi,Afghanistan
Gulbadin Naib,Afghanistan
Nangeyalia Kharote,Afghanistan
Travis Head,Australia
David Warner,Australia
Mitchell Marsh,Australia
Glenn Maxwell,Australia
Marcus Stoinis,Australia
Tim David,Australia
Matthew Wade,Australia
Pat Cummins,Australia
Ashton Agar,Australia
Adam Zampa,Australia
Steven Taylor,United States of America
Andries Gous,United States of America
Nitish Kumar,United States of America
Aaron Jones,United States of America
Corey Anderson,United States of America
Milind Kumar,United States of America
Harmeet Singh,United States of America
Shadley van Schalkwyk,United States of America
Ali Khan,United States of America
Nosthush Kenjige,United States of America
Phil Salt,England
Jos Buttler,England
Litton Das,Bangladesh
Tanzid Hasan,Bangladesh
Najmul Hossain Shanto,Bangladesh
Shakib Al Hasan,Bangladesh
Soumya Sarkar,Bangladesh
Towhid Hridoy,Bangladesh
Mahmudullah,Bangladesh
Rishad Hossain,Bangladesh
Tanzim Hasan Sakib,Bangladesh
Taskin Ahmed,Bangladesh
Noor Ahmad,Afghanistan
Naveen-ul-Haq,Afghanistan
Kyle Mayers,West Indies
Shai Hope,West Indies
Nicholas Pooran,West Indies
Roston Chase,West Indies
Rovman Powell,West Indies
Sherfane Rutherford,West Indies
Andre Russell,West Indies
Akeal Hosein,West Indies
Alzarri Joseph,West Indies
Gudakesh Motie,West Indies
Arshdeep Singh,India
Moeen Ali,England
Jonny Bairstow,England
Harry Brook,England
Sam Curran,England
Liam Livingstone,England
Chris Jordan,England
Jofra Archer,England
Adil Rashid,England
Mitchell Starc,Australia
Jaker Ali,Bangladesh
Mahedi Hasan,Bangladesh
Johnson Charles,West Indies
Hazratullah Zazai,Afghanistan
Najibullah Zadran,Afghanistan
Brandon King,West Indies
Romario Shepherd,West Indies
Tony Ura,Papua New Guinea
Assad Vala,Papua New Guinea
Charles Amini,Papua New Guinea
Sese Bau,Papua New Guinea
Hiri Hiri,Papua New Guinea
Chad Soper,Papua New Guinea
Kiplin Doriga,Papua New Guinea
Norman Vanua,Papua New Guinea
Alei Nao,Papua New Guinea
Kabua Morea,Papua New Guinea
